,class
126610,1
91665,0
18968,0
22331,0
50037,0
43508,0
75596,0
28686,0
6964,0
109622,0
38306,0
149418,0
82382,0
20073,0
9438,0
63482,0
20573,0
44406,0
17924,0
89418,1
75553,0
100005,0
30795,0
50588,0
141650,0
134556,0
4308,0
97514,0
108526,0
120335,0
78153,0
80508,0
80992,0
73374,0
51242,0
129119,0
14757,0
131699,0
50945,0
136240,0
28654,0
95985,0
97817,0
119670,1
26370,0
83636,0
38953,0
13074,0
120246,0
104262,1
24991,0
73378,0
110472,0
105323,0
100081,0
116086,0
43773,0
107651,0
150790,0
85893,0
74476,0
113022,0
24758,0
114056,0
44815,0
5967,0
102219,0
113105,0
57301,0
54020,0
50349,0
7968,0
63901,0
30905,0
43981,0
64100,0
84418,0
1641,0
105753,0
80045,0
46610,0
54726,0
30776,1
11192,0
68197,0
25320,1
41577,0
7105,0
12425,0
146728,0
136989,0
34365,0
40757,0
42262,1
46576,0
129232,0
93986,0
52622,0
131385,0
142418,0
10373,0
47544,0
77330,0
118255,0
131730,0
26344,1
36105,1
61248,0
24534,0
14802,0
59961,1
84909,0
102405,0
39174,0
148710,0
13432,0
33488,0
21794,0
144898,0
1735,0
141483,1
42463,0
106957,1
59001,0
116877,0
35896,0
5613,0
126230,0
60178,0
135822,0
52182,0
7266,0
53980,0
24147,0
120929,0
9209,0
29501,0
113356,1
38578,0
110277,0
15775,0
96562,0
149141,0
10586,1
47733,0
64179,0
129307,1
62540,0
108589,1
98006,0
95300,0
31946,0
147827,0
15097,0
64211,0
81099,0
8673,0
110516,0
119091,0
126724,0
86362,0
55987,0
61910,1
70926,0
2990,0
17181,0
140079,0
18503,0
62611,0
150880,0
54737,0
63781,0
75230,0
120701,0
38747,0
108413,0
126232,0
119072,0
121225,0
61452,0
67771,0
52294,0
107526,0
73265,0
89191,0
149474,0
99581,0
55258,0
78645,0
46861,0
80463,0
44136,0
19972,0
87883,0
91327,0
114485,1
133401,0
134595,0
118402,0
132301,0
88774,1
19136,0
134342,0
112083,1
113167,0
116235,0
85606,0
128775,0
4085,0
120754,0
123494,0
77812,1
43728,0
95205,0
53816,0
96926,0
92892,0
50813,0
149127,0
124003,0
116372,0
128081,0
40318,1
138366,0
79074,0
20416,0
149632,0
39430,0
61050,0
120200,0
112484,0
33727,0
58859,0
25029,0
59706,0
22178,0
147123,0
126242,0
37597,0
71701,0
41278,0
100542,0
74960,0
49059,0
141830,0
105233,1
11566,0
72753,0
19926,0
12843,0
51908,0
92284,0
9399,0
3681,0
3144,0
102664,0
101152,0
124072,0
142207,0
28316,0
12187,0
60944,0
15219,0
41927,0
125270,0
29945,0
37136,1
19142,0
135816,0
138350,0
77832,0
139438,0
149641,0
52505,0
104901,0
8956,0
26003,1
2100,0
148916,0
56321,0
63340,0
75351,0
48267,0
3751,0
35284,0
115327,0
77957,0
3064,0
59017,0
64195,0
95466,0
76487,0
77731,0
108039,0
7768,0
64965,0
136275,0
138199,0
19642,0
4942,0
97203,0
139676,0
105179,0
114478,0
58416,0
131643,0
99234,0
87494,0
86594,0
118615,0
135024,0
114270,0
148426,0
14463,0
18088,0
107103,0
67165,0
150458,0
119355,0
88440,0
127430,0
102599,0
76724,0
809,0
139299,1
16151,0
56711,0
148417,1
52811,0
17912,0
3990,0
39062,0
79849,0
128842,0
137351,0
104977,0
60579,0
3476,0
32834,0
45837,1
26610,0
121647,0
14329,0
27142,1
3114,0
36679,0
139081,0
46594,0
77139,0
20523,0
73715,0
37613,1
1329,0
44398,0
17393,0
26279,0
125416,0
106160,0
35874,0
83126,0
118988,0
100897,0
86086,0
99537,0
50741,0
103689,0
133039,0
1235,1
116371,0
42154,0
32392,0
88127,0
57546,0
148404,0
38868,0
115933,0
91365,0
120925,1
131406,0
127572,0
79622,0
12239,0
6055,0
78965,0
73885,0
150926,0
59157,0
35665,0
61439,0
52467,0
119939,0
140443,0
53389,0
8920,1
97344,0
100471,0
37480,0
13247,1
912,0
58478,0
56277,0
114662,0
13561,0
15278,0
55398,0
132030,0
91959,0
124534,0
103463,0
60248,0
71828,0
10736,0
8715,0
72343,0
100367,0
117006,0
29095,0
54485,0
15711,0
103824,0
75801,0
107029,0
38509,0
46310,0
63662,0
14523,0
44114,0
115287,0
82255,0
146261,0
101313,1
17637,0
70546,1
91039,0
41135,0
122895,0
141376,0
150679,0
39708,0
89073,0
141262,0
55172,0
38712,0
30414,0
60345,0
55060,0
99886,0
100398,0
7900,0
87509,0
138531,0
109962,0
43605,0
127108,0
18471,0
82151,0
25803,0
113518,1
117843,0
96028,0
33893,0
121017,0
38051,0
102582,0
51331,0
17617,0
132097,0
43542,1
76829,0
16227,0
125476,0
69017,0
131085,0
63085,0
79686,0
133,1
26445,0
87141,1
44054,0
23204,0
46485,0
16197,0
119734,0
142548,0
41828,0
100062,0
32356,0
54771,0
51675,0
57797,0
30486,0
112090,0
103112,0
44838,0
37736,0
100607,0
56537,0
42053,0
58316,0
51839,0
81547,0
10031,0
1470,0
113428,0
15426,0
123807,0
95886,0
63542,0
40350,0
91870,0
43604,0
124084,0
17261,0
116196,0
97400,0
73505,0
125218,0
41900,0
105723,0
138258,0
119223,0
118118,0
6504,1
69902,0
8021,0
85980,0
143558,0
17561,0
25908,1
110981,0
62631,0
84225,0
111067,0
88778,0
90393,1
26575,0
26824,0
96295,0
127440,1
25159,0
125525,0
34529,0
5167,0
1439,1
145394,0
123181,0
129344,0
44880,0
8627,0
22671,0
149270,0
116704,0
7864,0
26994,0
64366,0
118332,0
96326,0
8954,0
67249,0
132561,1
29799,0
101668,0
42621,0
24178,0
15979,0
139701,1
113327,0
58623,0
45173,1
100184,0
111799,1
85240,0
98682,0
24192,0
8382,0
75521,0
104153,0
8711,0
136231,0
38403,0
822,0
144923,0
70276,0
91251,0
23183,0
54596,0
150391,0
120078,0
65007,0
58146,0
80065,0
70453,0
75186,0
1937,0
43709,0
15391,0
71252,0
130788,0
68332,0
35226,0
29762,0
147005,0
96166,0
68819,0
87477,1
130476,0
14960,0
141253,0
10267,0
17870,0
14642,0
44235,0
8546,0
146029,0
113558,0
101945,1
128336,1
56093,0
109317,1
133127,0
71778,0
48527,0
10851,1
113658,0
71217,0
51975,0
71722,0
136500,0
19428,0
48991,0
62188,1
56040,1
144757,0
60032,0
24394,0
44549,0
99543,0
35434,0
87015,1
138094,0
46716,0
113143,0
103935,0
31659,0
140047,0
63480,0
80513,0
115019,0
40221,0
88819,0
128663,0
100123,0
26764,0
130429,0
7541,0
74298,0
3029,0
35021,0
33070,0
47486,0
88320,0
12827,0
10273,0
5778,0
131587,0
34286,0
132967,0
46677,0
16860,0
110950,0
6072,0
109079,0
58400,0
100989,0
7649,0
9082,0
39241,0
21494,0
138368,0
46490,1
58951,0
72145,0
113325,0
